time(ms), Accel (x), Accel (y), Accel (z)
0.0, -0.42870852, 9.917776, -3.420088
110.0, -1.2286451, 9.79084, -3.1422658
212.0, -1.4226416, 10.054293, -3.7649708
316.0, -0.9148975, 9.951306, -3.3817677
421.0, -0.32572266, 10.150093, -3.2213013
527.0, -0.49576905, 10.197993, -3.1470559
632.0, 0.45505372, 10.209969, -2.7087672
736.0, 0.16286133, 10.265054, -2.6033864
840.0, 0.244292, 10.27224, -2.5267458
946.0, 0.16525635, 10.33451, -2.6776319
1048.0, 0.1939966, 10.154883, -2.9171338
1152.0, -0.42152345, 10.169253, -3.1925611
1257.0, -0.5029541, 10.116563, -3.2141163
1359.0, -0.5508545, 10.056687, -3.3626075
1461.0, -0.48618898, 9.975257, -3.2668068
1563.0, -1.1496094, 9.975257, -3.539839
1666.0, -0.52690434, 10.001602, -3.5709743
1770.0, -0.6442603, 9.958491, -3.786526
1875.0, -0.9412427, 9.927357, -3.8104763
1982.0, -0.5748047, 9.968072, -3.6548
2085.0, -0.47181886, 9.81, -3.5853443
2190.0, -0.78556645, 9.946517, -3.6931202
2296.0, -0.8262818, 9.891431, -3.6548
2401.0, -0.62749517, 9.944121, -3.5781593
2505.0, -0.57719976, 10.0063925, -3.6212697
2609.0, -0.49576905, 9.968072, -3.4608033
2714.0, -0.5556446, 9.843531, -3.652405
2820.0, -0.6586304, 9.960887, -3.6188745
2925.0, -0.6442603, 10.054293, -3.7122805
3031.0, -0.49097902, 9.939331, -3.7003052
3135.0, -0.5125342, 9.972861, -3.5039136
3242.0, -0.51971924, 9.855506, -3.63564
3347.0, -0.50774413, 9.941727, -3.6811452
3452.0, -0.6011499, 9.922566, -3.5542092
3556.0, -0.34488282, 9.905801, -3.661985
3662.0, -0.62031007, 9.929751, -3.539839
3766.0, -0.86220706, 9.879456, -3.8392165
3875.0, -0.2802173, 9.826766, -3.7386258
3980.0, -0.47181886, 9.872271, -3.7098854
4085.0, -0.8933423, 9.958491, -3.7362306
4191.0, -0.732876, 9.972861, -3.63564
4296.0, -0.17244141, 9.944121, -3.4727786
4401.0, -0.100590825, 9.951306, -3.5134938
4504.0, -0.34967285, 9.996812, -3.5134938
4606.0, -0.4622388, 10.001602, -3.5254688
4711.0, -0.4622388, 10.001602, -3.4967287
4813.0, -0.41194338, 9.951306, -3.432063
4917.0, -0.2802173, 10.025552, -3.4775686
5021.0, -0.36883304, 10.025552, -3.5134938
5123.0, -0.6682105, 9.980047, -3.7649708
5225.0, -0.24668702, 10.111773, -3.5613942
5326.0, -0.2562671, 10.162068, -3.6140847
5428.0, 0.9627979, 9.73815, -2.9722195
5530.0, 2.929109, 9.690249, -2.6369166
5633.0, 0.16765137, 10.454261, -2.6560767
5735.0, 0.852627, 10.281819, -1.4873072
5838.0, -0.30416748, 10.327325, -2.6321266
5940.0, -0.44786867, 10.221944, -2.2585034
6042.0, -1.8585353, 11.266172, -2.929109
6147.0, -3.4248781, 16.00831, -6.356382
6253.0, 7.074888, 8.581355, 2.668052
6360.0, -4.8427296, 4.9624805, 0.6011499
6463.0, 5.1612673, 9.532178, -4.3637257
6567.0, -0.39278322, 13.397739, -2.2920337
6673.0, 4.2104445, 10.399176, -3.1350808
6777.0, 8.753797, 13.649217, -5.336104
6883.0, 0.5508545, 11.088941, 1.089734
6987.0, -3.297942, 9.522598, 0.58677983
7092.0, -1.5136524, 10.492581, -0.85023195
7196.0, -2.6009912, 11.373948, -1.6429834
7301.0, -0.9053174, 13.40732, -3.2428565
7404.0, -7.0988383, 14.118641, -4.840335
7507.0, 4.9169755, 2.6153615, -2.1746778
7611.0, 4.0427933, 4.9073954, -1.9711012
7714.0, 1.0657837, 11.2302475, -3.530259
7817.0, -1.1328443, 15.493382, -3.3338673
7920.0, 6.3060865, 11.601475, -2.2920337
8024.0, 2.7135572, 8.638836, 0.011975098
8128.0, 4.0571632, 10.459051, -3.319497
8232.0, 2.548301, 10.360855, -3.1614258
8335.0, 0.13172609, 10.34888, -1.84177
8439.0, -0.26105714, 10.921289, -2.0453467
8541.0, -2.7111623, 13.318705, -1.4322218
8644.0, -9.651929, 16.118483, -2.1100123
8748.0, 12.760665, 5.039121, -4.2343946
8853.0, -3.0368848, 1.9040406, -1.0562036
8957.0, 5.5301003, 10.097403, -2.1507277
9062.0, -1.705254, 16.288528, -0.85023195
9167.0, 4.9145803, 10.756033, -3.9445972
9270.0, -0.244292, 12.533137, -5.278623
9376.0, 1.587898, 9.057964, -2.0621119
9480.0, -7.438931, 9.522598, 3.2165112
9584.0, -2.3327491, 10.310559, -0.09580079
9688.0, -0.6682105, 10.748848, -0.728086
9792.0, -1.6741188, 11.318863, -1.4489869
9895.0, -2.8524685, 17.270487, -6.4833183
10000.0, 7.3718705, 10.722503, 1.099314
10106.0, 14.279107, -0.38320315, -3.8248463
10211.0, 0.8646021, 7.5970025, 1.092129
10315.0, 0.3305127, 13.598922, -2.4788454
10419.0, 2.7518775, 10.619517, -2.907554
10525.0, -18.30753, 25.473429, 2.339934
10629.0, -1.099314, 11.790682, 1.2693604
10733.0, -1.698069, 10.291399, 0.035925295
10837.0, -0.5005591, 10.772799, -1.4729371
10941.0, -0.6658155, 10.617122, -1.3268409
11045.0, -0.8382569, 11.354788, -0.8885523
11149.0, -1.4753321, 14.674285, -5.3169436
11251.0, 2.936294, 12.17628, -0.6322852
11354.0, 3.6164796, 2.6896071, -1.2837305
