time(ms), Accel (x), Accel (y), Accel (z)
0.0,8.909473,0.5460645,7.4030056
101.0,7.5083866,0.2802173,6.303692
204.0,7.656878,-0.1101709,5.213958
309.0,6.212681,0.45744875,4.1170387
414.0,9.026829,-0.5005591,4.143384
519.0,9.168135,-0.32332766,4.488267
621.0,9.6686945,0.08861572,3.3482375
726.0,9.64714,-0.047900394,2.3950195
832.0,9.019644,-0.05748047,2.323169
940.0,9.498648,-0.12933107,3.1183155
1044.0,10.047108,-0.22513184,1.5040723
1147.0,8.178992,0.15328126,1.8920655
1248.0,9.307046,-0.12454102,2.064507
1350.0,9.848321,0.5460645,1.6046631
1452.0,9.529783,-0.07664063,1.463357
1554.0,9.010064,0.2203418,1.0322535
1658.0,9.941727,0.7065308,0.9364527
1761.0,9.374106,0.26584718,1.5376027
1864.0,9.558523,0.5724097,1.223855
1968.0,9.242381,0.14370118,1.5687379
2070.0,9.611214,0.28740236,1.2645704
2176.0,9.687855,0.42870852,1.1807446
2282.0,9.168135,0.100590825,1.4058765
2390.0,10.322535,0.45984375,1.214275
2495.0,8.171807,-0.19639161,1.101709
2600.0,10.985955,0.7951465,0.91010743
2705.0,9.388477,-0.06466553,1.4873072
2809.0,9.422008,0.1460962,1.6166383
2914.0,9.558523,0.16765137,1.1807446
3020.0,9.74773,0.2778223,1.1903248
3124.0,9.19927,0.035925295,1.2046949
3226.0,9.06994,0.2083667,1.5184424
3330.0,10.394385,0.07185059,1.5783179
3434.0,8.246053,-0.65384036,1.0729688
3537.0,10.312955,0.7568262,1.2909156
3640.0,10.011182,-0.19878663,2.1004322
3744.0,9.09868,-0.05269043,1.0083033
3848.0,9.884246,-0.25147706,1.2406201
3952.0,9.223221,-0.44307864,1.7579445
4057.0,9.7740755,-0.29698244,2.0932472
4160.0,9.383687,-0.4766089,1.1304493
4263.0,9.431587,-0.17962648,1.1807446
4367.0,9.924961,-0.12693603,1.4465919
4472.0,9.285491,-0.5556446,1.2046949
4576.0,9.524993,-0.36164796,1.094524
4680.0,9.831555,-0.244292,1.1687696
4784.0,9.280701,-0.57959473,1.2406201
4888.0,9.139395,-0.74006104,1.1999048
4992.0,9.311836,-0.6730005,0.8167017
5096.0,9.12263,-0.80712163,1.6094532
5200.0,10.166859,0.85741705,4.2799
5305.0,9.948912,0.8310718,0.6777906
5409.0,10.008787,1.7148341,1.9902613
5516.0,9.453142,1.0274634,1.5687379
5619.0,10.020762,0.89573735,3.3985329
5722.0,9.081915,0.23471193,0.9699829
5826.0,9.453142,-2.191443,0.6993457
5929.0,8.258028,-1.4034815,2.323169
6034.0,10.121353,0.1939966,1.468147
6139.0,9.956097,0.974773,1.4705421
6243.0,9.433982,0.90771246,0.364043
6347.0,10.042317,0.9029224,1.6022681
6452.0,13.903089,-0.05269043,4.0691385
6556.0,10.262659,0.4382886,2.6177564
6661.0,8.53585,-0.8143067,0.5412744
6766.0,6.8952613,-1.6597486,3.3147073
6870.0,7.316785,-1.2406201,1.453777
6974.0,9.860296,-1.707649,-0.20357667
7080.0,11.500884,-1.6118482,1.5447876
7184.0,8.629255,-0.40715334,2.5291407
7288.0,8.722662,-0.36883304,0.4766089
7391.0,7.94907,0.4742139,1.0825489
7496.0,9.625584,1.0585986,0.8813672
7601.0,12.466077,0.69695073,1.5495777
7707.0,13.141473,0.7568262,5.3289185
7811.0,10.358459,-0.85023195,2.0549269
7914.0,7.36708,-0.8047266,1.8776954
8019.0,8.461604,-1.2909156,0.56522465
8123.0,7.6377177,-1.1064991,0.96040285
8229.0,10.207574,-1.707649,1.0370435
8334.0,10.514136,-0.87897223,1.9351759
8439.0,8.919053,-0.27303225,0.7759864
8544.0,8.495134,-0.06227051,1.4322218
8648.0,8.959768,1.0106983,1.5687379
8751.0,12.394227,1.1328443,1.8465601
8854.0,13.543836,0.24908204,3.403323
8957.0,9.479487,-0.10538086,2.8979738
9060.0,9.433982,-0.90771246,2.3447242
9168.0,7.6041875,-0.99393314,1.4202466
9274.0,7.060518,-0.5891748,1.6741188
9378.0,10.37762,-2.1148024,-0.78556645
9484.0,7.7574687,-0.62510014,4.9313455
9590.0,10.243499,-1.0250684,-0.55324954
9694.0,8.361013,-0.34967285,1.8968556
9799.0,8.978929,0.6682105,0.17723145
9903.0,10.36325,0.68018556,1.6453785
10008.0,14.394068,0.74724615,2.6033864
10111.0,10.279425,-0.15328126,2.2249732
10216.0,9.939331,-1.3388159,1.1567944
10319.0,8.734636,-1.2525953,1.84177
10422.0,7.702383,-1.334026,1.3196558
10525.0,8.464,-2.2537134,1.3148658
10629.0,10.389595,-2.5171657,-0.5460645
10736.0,9.759705,-0.77359134,1.6573536
10840.0,9.19448,-0.5748047,0.28261232
10955.0,8.883128,0.26105714,0.06706055
11060.0,9.889036,0.12933107,1.7507594
11164.0,13.390554,0.2802173,1.0202783
11267.0,11.414663,0.244292,2.3878345
11372.0,11.273357,-1.5232325,1.5136524
11476.0,8.190968,-1.1160791,2.5171657
11580.0,6.871311,-1.5615528,1.6310084
11685.0,9.093889,-1.1472144,-0.09340577
11789.0,7.9466753,-3.1111305,-0.05508545
11896.0,9.872271,-1.1496094,3.8655617
12000.0,10.31535,-1.5256275,0.09340577
12104.0,9.244776,-0.5292993,0.9532178
12208.0,10.123748,0.7544312,1.1783496
12312.0,12.655284,0.855022,1.5615528
12415.0,13.050462,0.31853762,2.5004005
12518.0,11.232642,-0.5029541,3.3889527
12624.0,8.717872,-0.7041358,2.4525
12728.0,7.814949,-0.8813672,1.0657837
12831.0,8.935819,-1.0178833,0.011975098
12934.0,7.7550735,-1.1136842,1.6932789
13039.0,9.594449,-1.3507911,0.28979737
13141.0,9.278306,-0.9627979,3.0416749
13245.0,9.649534,0.0,1.0825489
13351.0,9.649534,1.1088941,1.2334352
13455.0,11.053016,1.5184424,1.5591577
13559.0,13.067227,1.8202149,0.7496411
13663.0,11.812237,0.7544312,1.0178833
13772.0,10.7799835,-1.4418018,2.078877
13877.0,8.734636,-0.76161623,2.323169
13981.0,7.680828,-0.96040285,1.2957057
14083.0,7.2640944,-1.6094532,1.2334352
14188.0,10.140513,-2.6369166,0.74006104
14295.0,8.952583,-0.1580713,0.43589357
14398.0,9.441168,-0.62510014,1.0274634
14502.0,9.594449,0.9484278,2.6273365
14606.0,10.018367,1.2693604,2.42855
14709.0,10.87818,1.2813355,3.1063404
14814.0,12.739109,-0.847837,3.3650026
14920.0,7.9945755,-2.2872438,2.912344
15025.0,8.111932,-2.2106032,1.9279908
15130.0,7.3622904,-1.8106349,1.2645704
15235.0,8.847202,-0.06227051,0.92208254
15338.0,11.443404,-1.0322535,2.3519094
15442.0,7.5059915,0.87178713,2.8692336
15546.0,10.427916,0.6227051,1.9255958
15649.0,9.057964,2.2561085,5.199588
15750.0,8.684341,2.6225464,6.7491655
15855.0,7.28565,0.7783814,9.297466
15961.0,3.8008962,1.8992506,7.7311234
16065.0,1.6357985,3.1087356,8.523875
16168.0,1.8154249,3.9398074,6.6988697
16271.0,1.4058765,4.7229786,8.459209
16377.0,-0.0023950196,5.5947657,4.102669
16480.0,-0.95561284,6.0091043,8.701106
16585.0,-1.4849122,6.5360084,7.90117

