time(ms),Accel (x),Accel (y),Accel (z)
0.0,3.417693,1.6477735,10.200389
101.0,3.163821,1.6429834,6.8904715
203.0,3.530259,1.2717555,8.717872
309.0,-1.839375,0.81191164,10.32972
415.0,5.712122,-0.732876,7.448511
519.0,17.366287,1.947151,4.2176294
625.0,4.026028,-0.488584,5.980364
730.0,10.197993,-0.46942386,-0.4766089
838.0,6.5791187,-2.7470875,6.1240654
944.0,9.683064,-3.5182838,3.3290772
1048.0,6.07856,-4.643943,3.0847852
1151.0,5.7552323,-4.3254056,3.8320315
1252.0,6.1695704,-4.87626,5.362449
1356.0,7.5251517,-4.7876444,5.2043777
1459.0,4.3254056,-5.977969,4.976851
1562.0,4.488267,-4.4451566,4.4691067
1669.0,5.4462748,-6.4928985,5.860613
1774.0,5.381609,-5.9635987,2.555486
1881.0,9.70941,-10.938055,2.215393
1988.0,-2.1219873,-7.082073,-2.6776319
2096.0,3.1422658,-9.534574,1.0514137
2202.0,1.4585669,-6.248606,-5.4295096
2304.0,-2.7207422,-7.8580594,-0.011975098
2408.0,13.069622,-19.334993,-4.0356083
2513.0,-4.4691067,-0.5508545,-14.798826
2618.0,0.974773,-10.6746025,-6.3156667
2722.0,-3.2332766,-8.274793,2.6153615
2827.0,-0.79993653,-6.7970657,1.5567628
2931.0,-1.468147,-8.722662,3.891907
3034.0,-2.7159522,-8.679551,-0.117355965
3140.0,-3.558999,-7.1395535,3.159031
3246.0,-2.6177564,-8.188572,1.7962648
3348.0,-1.5352076,-8.061636,3.551814
3452.0,-3.2021413,-8.267608,2.0405567
3556.0,-2.4812403,-8.217313,2.543511
3659.0,-2.1627028,-8.056846,3.0416749
3762.0,-2.7566676,-8.341853,2.5099807
3866.0,-2.4069948,-8.576566,1.3388159
3970.0,-2.4045997,-8.452024,2.6369166
4073.0,-3.1183155,-8.078402,2.1650977
4178.0,-2.5866213,-8.51669,2.5842261
4281.0,-1.9351759,-8.741821,2.3566992
4385.0,-1.8465601,-8.394544,2.320774
4491.0,-2.8572583,-8.270002,2.2297633
4595.0,-2.1339624,-8.253238,2.1076174
4702.0,-2.2776637,-8.241262,2.3519094
4806.0,-2.454895,-8.327483,2.3854396
4912.0,-2.3638844,-8.255632,2.2513185
5015.0,-2.3447242,-8.576566,2.430945
5461.0,-2.0381618,-7.9826,3.671565
5565.0,0.68737066,-9.486672,3.166216
5670.0,1.4058765,-9.802815,1.6908839
5775.0,-2.069297,-9.230406,-3.6691701
5883.0,-5.2762284,-9.524993,4.263135
5989.0,-2.7494826,-4.0787187,1.7411792
6094.0,-2.4908204,-3.8176613,1.0466236
6198.0,14.729371,-22.647306,-2.299219
6306.0,-9.127419,-10.336905,0.5029541
6409.0,-6.0833497,-2.7854078,0.42870852
6513.0,-0.87897223,-6.9240017,8.222102
6616.0,1.1328443,-8.298743,1.7866846
