time(ms),x-accel,y-accel,z-accel
0.0,0.085571,-1.002472,-0.106659
27160.000001458684,0.042648,-0.998749,-0.120621
54310.00000316999,0.067596,-0.997543,-0.130157
81470.0000009907,0.08226,-0.993469,-0.141449
108620.000002702,0.064041,-1.002228,-0.142166
135809.99999976484,0.055832,-1.001266,-0.134171
162970.00000122353,0.054123,-0.997498,-0.134552
190110.00000318745,0.056732,-0.997375,-0.141647
217260.00000126078,0.054977,-0.999023,-0.137711
244410.00000297208,0.062317,-1.000046,-0.137833
271600.0000000349,0.059891,-1.004349,-0.126282
298750.00000174623,0.055435,-1.002411,-0.13797
325890.0000000722,0.05629,-0.999847,-0.136963
353040.0000017835,0.055832,-0.990158,-0.144348
380189.9999998568,0.054672,-0.996658,-0.134354
407370.00000081025,0.053314,-0.996887,-0.145981
434520.00000252156,0.064728,-0.999008,-0.136185
461670.0000005949,0.054276,-0.995712,-0.138596
488810.0000025588,0.054199,-0.999237,-0.135574
515970.0000003795,0.062637,-1.000824,-0.145416
543150.000001333,0.05217,-0.998734,-0.137283
570300.0000030443,0.053192,-0.997604,-0.143967
597450.0000011176,0.053116,-0.995026,-0.141983
624600.0000028289,0.054276,-1.003448,-0.138031
651750.0000009022,0.053528,-0.997177,-0.147919
678940.000001603,0.051071,-1.001068,-0.142456
706089.9999996764,0.053787,-0.998352,-0.143173
733240.0000013877,0.054016,-1.003815,-0.143539
760390.000003099,0.05307,-1.000122,-0.14743
787550.0000009197,0.04538,-1.007904,-0.145813
814730.0000018731,0.053482,-0.998901,-0.157028
841879.9999999464,0.053772,-1.003845,-0.149857
869030.0000016578,0.051193,-0.995361,-0.143677
896179.9999997311,0.053726,-0.992767,-0.143112
923330.0000014424,0.053589,-0.998169,-0.136581
950510.0000023958,0.053574,-0.997665,-0.135086
977670.0000002165,0.053497,-0.99585,-0.133881
1004820.0000019278,0.037338,-0.998917,-0.149445
1031979.9999997485,0.040451,-1.005325,-0.143112
1059130.0000014598,0.052002,-1.001236,-0.154663
1086320.0000021607,0.052673,-0.989182,-0.156616
1113470.000000234,0.041733,-1.004852,-0.147415
1140620.0000019453,0.045959,-0.997086,-0.154724
1167779.999999766,0.045593,-1.00386,-0.134048
1194930.0000014773,0.044617,-0.999619,-0.156509
1222120.0000021781,0.046432,-0.994125,-0.16684
1249270.0000002515,0.049377,-1.004837,-0.169022
1276420.0000019628,0.054855,-1.017609,-0.177719
1303570.000000036,0.051544,-0.935394,-0.379227
1330730.0000014948,0.059464,-0.970154,-0.124847
1357920.0000021956,0.087357,-1.043503,0.064011
1385070.000000269,0.051666,-1.021957,0.096207
1412220.0000019802,-0.019882,-1.017578,-0.007797
1439370.0000000536,0.046143,-1.015808,-0.031845
1466520.0000017649,0.072586,-1.001587,-0.06868
1493700.0000027183,0.055679,-1.00322,-0.077621
1520850.0000007916,0.041489,-1.015213,-0.061096
1548000.000002503,0.034378,-1.014801,-0.024689
1575150.0000005763,0.039642,-1.005249,-0.028748
1602290.0000025402,0.040009,-1.011703,-0.037155
1629480.000003241,0.033783,-1.016556,-0.032135
1656630.0000013143,0.041962,-1.022217,-0.008392
1683780.0000030256,0.046448,-1.004944,0.006393
1710930.000001099,-0.002792,-1.026703,0.001251
1738080.0000028103,-0.013092,-1.043839,0.011047
1765269.999999873,0.020813,-1.029419,0.02005
1792420.0000015844,0.117447,-1.035385,0.098618
1819569.9999996577,0.376694,-1.09935,0.203522
1846720.000001369,0.392395,-1.063614,0.320953
1873870.0000030803,0.053589,-1.040314,0.159485
1901060.0000001432,-0.154068,-0.908325,0.133011
1928210.0000018545,-0.192337,-0.833221,0.062302
1955359.9999999278,-0.193893,-0.801865,0.066269
1982510.0000016391,-0.20224,-0.863892,0.084259
2009670.0000030978,-0.116821,-1.025986,0.088806
2036860.0000001607,-0.036346,-1.065369,0.02359
2064010.000001872,0.022034,-1.02832,0.001282
2091159.9999999453,-0.012772,-1.139587,0.042419
2118310.000001657,-0.179565,-1.023163,-0.150421
2145459.99999973,-0.169968,-1.099609,-0.04567
2172510.0000003297,0.008575,-1.0905,0.170227
2199660.0000020405,0.202774,-0.963272,0.297989
2226810.000000114,0.274963,-0.900574,0.249603
2253970.000001573,0.085815,-0.740875,0.193115
2281119.999999646,0.078537,-0.827942,0.079498
2308310.000000347,-0.555573,-1.056747,-0.126282
2335460.000002058,-0.579559,-1.177002,-0.321793
2362610.0000001313,-0.295059,-1.087631,-0.12442
2389760.000001843,-0.027069,-1.086716,0.231476
2416909.999999916,-0.193069,-1.030304,0.331238
2444090.00000087,-0.327286,-0.988144,0.037445
2471250.0000023283,-0.121567,-0.996628,-0.046585
2498400.0000004014,0.102295,-1.00174,0.080856
2525550.000002113,-0.025162,-1.011459,0.086609
2552700.0000001863,-0.190247,-0.992737,-0.019348
2579880.00000114,-0.099304,-1.034515,0.071457
2607030.000002851,-0.03598,-1.021103,0.131165
