times (ms),x-accel,y-accel,z-accel
0.0,-0.052948,-0.426331,-0.967941
36.929999992251396,0.055359,-0.464203,-0.860336
62.189999997615814,0.007965,-0.45787,-0.912415
87.43999999761581,-0.013977,-0.429153,-0.899902
112.6799999922514,-0.047592,-0.431366,-0.875992
137.95000000298023,-0.081863,-0.387405,-0.968307
163.19999998807907,-0.026566,-0.365067,-0.978516
188.46000000834465,0.199844,-0.480103,-1.009781
213.7099999934435,0.133682,-0.39917,-0.965271
238.95000000298023,-0.013779,-0.457397,-0.822937
264.2199999988079,-0.048706,-0.531799,-0.762726
289.4599999934435,0.059052,-0.441422,-0.731369
314.72999998927116,0.127365,-0.421387,-0.704926
339.9699999988079,0.252213,-0.43454,-0.856934
365.21000000834465,0.077393,-0.304932,-0.914993
390.4800000041723,0.047653,-0.36113,-0.832077
415.7199999988079,0.014023,-0.321671,-0.841995
440.97999998927116,0.003143,-0.268311,-0.816132
466.22999998927116,0.067612,-0.302017,-0.797089
491.47999998927116,0.078766,-0.298172,-0.872681
516.7399999946356,0.003815,-0.212173,-0.911118
541.9799999892712,-0.021301,-0.1436,-0.803848
567.2499999850988,0.043198,-0.094833,-0.702255
592.5,0.133041,-0.036346,-0.783478
617.75,0.082199,-0.053009,-0.876404
643.0099999904633,0.241455,0.008896,-0.944611
668.25,0.161224,0.061615,-0.821075
693.5199999958277,0.116806,0.136993,-0.497864
718.7699999958277,0.145279,0.245987,-0.279587
744.0099999904633,0.392258,0.415573,-0.224167
769.2799999862909,0.418106,0.491837,-0.540375
794.5199999958277,0.37352,0.710251,-0.716492
819.7899999916553,0.685471,0.729218,-1.044754
845.0399999916553,1.087967,0.573822,-1.377991
870.2899999916553,1.413696,0.459763,-1.591568
895.5499999970198,1.44548,0.313202,-1.538422
920.809999987483,1.532578,0.111069,-1.370529
946.0699999928474,1.786987,-0.168121,-1.169556
971.3199999928474,1.887527,-0.413635,-0.894714
996.5699999928474,1.826813,-0.424316,-0.776382
1021.8299999982119,1.512421,-0.404144,-0.537125
1047.0699999928474,1.440704,-0.500687,-0.29866
1072.3400000035763,1.515884,-0.536133,-0.058609
1097.5799999982119,1.325317,-0.380661,-0.182877
1122.8299999833107,1.063705,-0.258316,-0.09671
1148.0900000035763,0.991409,0.143173,0.275391
1173.3399999886751,0.691956,0.67688,0.293671
1198.5999999940395,0.551743,-0.129776,0.082062
1223.8499999940395,0.822784,0.240097,-0.164062
1249.0899999886751,0.801483,0.027267,-0.463654
1274.3499999940395,1.023087,0.039078,-0.725311
1299.5999999940395,1.122131,-0.261108,-0.053711
1324.8599999845028,1.038116,-0.272888,-0.092667
1350.109999999404,0.907089,-0.216003,-0.328995
1375.3499999940395,0.669876,0.236984,-0.484375
1400.609999999404,0.91568,0.15451,0.088974
1425.859999999404,0.685074,0.106079,0.143814
1451.1199999898672,0.848831,0.333496,0.235886
1476.3700000047684,1.02179,0.126617,-0.536743
1501.6099999845028,1.547974,-0.244919,-0.189957
1526.8799999952316,1.453094,-0.101517,0.093628
1552.1299999952316,1.279541,0.113129,0.034637
1577.3899999856949,1.083328,0.24675,-0.030289
1602.640000000596,0.944565,0.280136,-0.087326
1627.8799999952316,0.879028,0.541901,-0.737335
1653.1499999910593,0.866196,0.399124,-0.616196
1678.390000000596,0.929565,0.304489,-0.319229
1703.6599999964237,0.980789,0.180054,-0.034241
1728.9099999815226,1.3685,-0.188828,-0.014725
1754.1499999910593,1.318054,-0.29686,0.06929
1779.419999986887,1.311707,-0.170074,0.072632
1804.6700000017881,1.349701,-0.270187,0.038315
1829.9399999976158,1.206909,-0.171051,-0.24678
1855.1899999976158,0.514145,0.387512,0.118301
1880.4399999976158,0.807175,0.321732,-0.152008
1905.7099999934435,1.405472,0.012054,-0.278076
1930.949999988079,0.913559,-0.074921,-0.465485
1956.2199999839067,0.848358,-0.276413,0.487152
1981.469999998808,0.689789,-0.255951,0.271805
2006.719999998808,0.974564,-0.250671,0.435303
2031.9800000041723,1.130173,-0.420395,0.508408
2057.229999989271,0.809296,-0.120499,0.124023
2082.5,0.640884,-0.112701,0.027679
2107.7399999946356,0.639435,-0.017624,-0.146545
2132.9899999946356,0.902954,-0.377991,0.27002
2158.2599999904633,1.141922,-0.306412,-0.585022
2183.5,1.058182,-0.131393,-0.580139
2208.7699999958277,0.732483,0.300858,-0.235855
2233.8799999952316,0.709686,0.341461,0.184875
2259.1200000047684,1.254532,0.212906,-7.48E-4
2284.390000000596,1.517502,0.201996,-0.451431
2309.639999985695,1.264893,0.101364,-0.23613
2334.9099999964237,0.940094,0.192154,-0.072556
2360.1599999964237,0.585175,0.27916,-0.208862
2385.3999999910593,0.609406,0.139938,-0.125488
2410.670000001788,0.366135,0.137711,0.007278
2435.920000001788,1.190933,-0.184937,-0.194305
2461.189999997616,0.727753,-0.079758,-0.110352
2486.4300000071526,1.025787,-0.288757,0.584244
2511.6799999922514,1.283569,-0.27005,0.547623
2536.949999988079,1.002716,0.088486,0.39418
2562.2000000029802,1.047211,0.179977,0.921005
2587.4599999934435,1.432037,0.029526,0.766693
2612.7099999934435,1.275375,0.216766,0.469864
2637.9599999934435,1.217926,0.20874,0.396515
2663.219999998808,1.255417,0.308334,0.355804
2688.4699999839067,1.160248,0.365723,0.210327
2713.7399999946356,1.255951,0.442932,0.080658
2738.9899999946356,0.987122,0.332809,0.405182
2764.2399999946356,1.206543,-0.014572,0.373291
2789.5100000053644,0.56369,0.586258,0.225082
2814.75,0.604233,0.504532,0.160202
2840.0199999958277,0.877747,0.278824,0.041946
2865.2699999958277,0.306122,0.3685,-1.245422
2890.5099999904633,0.697922,0.217972,0.067551
2915.779999986291,0.934708,0.088577,0.10321
2941.030000001192,0.385086,0.257843,-0.43634
2966.2999999970198,0.411819,0.160309,0.002472
2991.5400000065565,0.462341,0.209091,0.173828
3016.7899999916553,0.559006,0.377762,-0.161301
3042.059999987483,1.195786,0.310074,-0.255188
3067.310000002384,1.022858,-0.097794,-0.138412
3092.5900000035763,1.584427,-0.269211,-0.134399
3117.829999998212,1.655182,0.042877,-0.312805
3143.079999998212,1.575974,-0.131729,-0.315628
3168.3499999940395,1.156708,0.390442,0.197693
3193.5999999940395,0.804184,0.567673,0.105881
3218.869999989867,0.592972,0.689499,0.304871
3244.1200000047684,0.782181,0.682709,0.092087
3269.369999989867,1.022888,0.323685,-0.265656
3294.639999985695,1.341278,0.377975,-0.62854
3319.890000000596,1.379333,0.246674,-0.089111
3345.1599999964237,1.025391,0.356918,-0.012619
3370.4099999964237,0.753906,0.314316,-0.317673
3395.6599999964237,0.264496,0.56958,-0.470062
3420.9299999922514,0.544449,0.399643,-0.004669
3446.1799999922514,0.649261,0.385208,0.030655
3471.449999988079,0.656647,0.437134,0.112885
3496.7000000029802,0.801117,0.497391,0.004471
3521.9599999934435,0.648041,0.281342,-0.297943
3547.229999989271,1.315918,0.585037,-1.026123
3572.469999998808,1.318802,0.816254,-0.197815
3597.75,1.018127,0.728058,-0.077133
3622.9899999946356,0.601974,0.428391,0.039169
3648.2399999946356,0.531708,0.5784,0.265656
3673.5099999904633,0.704559,0.772507,-0.026932
3698.7599999904633,0.737625,0.433533,-0.004089
3724.030000001192,0.49147,0.276459,0.097504
3749.2699999958277,0.363724,0.333923,0.039001
3774.5199999958277,0.424469,0.518723,-0.109573
3799.780000001192,0.288467,0.349274,-0.082794
3825.029999986291,0.11441,0.125183,-0.120132
3850.2999999821186,-0.037643,0.371841,-0.718399
3875.5399999916553,0.289169,1.9505,0.375778
3900.779999986291,0.082413,4.736542,-0.474777
3926.0499999970198,0.184601,1.269241,-0.09259
3951.2999999970198,-0.044052,0.304565,0.181885
