time (ms), x-accel, y-accel, z-accel
0.0, -0.052948, -0.426331, -0.967941
36.93000000203028, 0.055359, -0.464203, -0.860336
62.18999999691732, 0.007965, -0.45787, -0.912415
87.44000000297092, -0.013977, -0.429153, -0.899902
112.67999999108724, -0.047592, -0.431366, -0.875992
137.95000000391155, -0.081863, -0.387405, -0.968307
163.19999999541324, -0.026566, -0.365067, -0.978516
188.4600000048522, 0.199844, -0.480103, -1.009781
213.70999999635387, 0.133682, -0.39917, -0.965271
238.9499999990221, -0.013779, -0.457397, -0.822937
264.2199999972945, -0.048706, -0.531799, -0.762726
289.45999999996275, 0.059052, -0.441422, -0.731369
314.72999999823514, 0.127365, -0.421387, -0.704926
339.9700000009034, 0.252213, -0.43454, -0.856934
365.2100000035716, 0.077393, -0.304932, -0.914993
390.480000001844, 0.047653, -0.36113, -0.832077
415.72000000451226, 0.014023, -0.321671, -0.841995
440.9799999993993, 0.003143, -0.268311, -0.816132
466.229999990901, 0.067612, -0.302017, -0.797089
491.4799999969546, 0.078766, -0.298172, -0.872681
516.7399999918416, 0.003815, -0.212173, -0.911118
541.9799999945099, -0.021301, -0.1436, -0.803848
567.2499999927823, 0.043198, -0.094833, -0.702255
592.4999999988358, 0.133041, -0.036346, -0.783478
617.7500000048894, 0.082199, -0.053009, -0.876404
643.0099999997765, 0.241455, 0.008896, -0.944611
668.2500000024447, 0.161224, 0.061615, -0.821075
693.5200000007171, 0.116806, 0.136993, -0.497864
718.7699999922188, 0.145279, 0.245987, -0.279587
744.009999994887, 0.392258, 0.415573, -0.224167
769.2799999931594, 0.418106, 0.491837, -0.540375
794.5199999958277, 0.37352, 0.710251, -0.716492
819.7899999941001, 0.685471, 0.729218, -1.044754
845.0400000001537, 1.087967, 0.573822, -1.377991
870.2899999916553, 1.413696, 0.459763, -1.591568
895.5500000010943, 1.44548, 0.313202, -1.538422
920.8099999959813, 1.532578, 0.111069, -1.370529
946.0699999908684, 1.786987, -0.168121, -1.169556
971.319999996922, 1.887527, -0.413635, -0.894714
996.5700000029756, 1.826813, -0.424316, -0.776382
1021.8299999978626, 1.512421, -0.404144, -0.537125
1047.0700000005309, 1.440704, -0.500687, -0.29866
1072.3399999988033, 1.515884, -0.536133, -0.058609
1097.5800000014715, 1.325317, -0.380661, -0.182877
1122.8299999929732, 1.063705, -0.258316, -0.09671
1148.0900000024121, 0.991409, 0.143173, 0.275391
1173.3399999939138, 0.691956, 0.67688, 0.293671
1198.6000000033528, 0.551743, -0.129776, 0.082062
1223.8499999948544, 0.822784, 0.240097, -0.164062
1249.0899999975227, 0.801483, 0.027267, -0.463654
1274.3499999924097, 1.023087, 0.039078, -0.725311
1299.5999999984633, 1.122131, -0.261108, -0.053711
1324.8599999933504, 1.038116, -0.272888, -0.092667
1350.109999999404, 0.907089, -0.216003, -0.328995
1375.3500000020722, 0.669876, 0.236984, -0.484375
1400.6099999969592, 0.91568, 0.15451, 0.088974
1425.8600000030128, 0.685074, 0.106079, 0.143814
1451.1199999978999, 0.848831, 0.333496, 0.235886
1476.3700000039535, 1.02179, 0.126617, -0.536743
1501.6099999920698, 1.547974, -0.244919, -0.189957
1526.880000004894, 1.453094, -0.101517, 0.093628
1552.1299999963958, 1.279541, 0.113129, 0.034637
1577.3899999912828, 1.083328, 0.24675, -0.030289
1602.6399999973364, 0.944565, 0.280136, -0.087326
1627.8800000000047, 0.879028, 0.541901, -0.737335
1653.149999998277, 0.866196, 0.399124, -0.616196
1678.3900000009453, 0.929565, 0.304489, -0.319229
1703.6599999992177, 0.980789, 0.180054, -0.034241
1728.9099999907194, 1.3685, -0.188828, -0.014725
1754.1499999933876, 1.318054, -0.29686, 0.06929
1779.41999999166, 1.311707, -0.170074, 0.072632
1804.6699999977136, 1.349701, -0.270187, 0.038315
1829.939999995986, 1.206909, -0.171051, -0.24678
1855.1900000020396, 0.514145, 0.387512, 0.118301
1880.4399999935413, 0.807175, 0.321732, -0.152008
1905.7099999918137, 1.405472, 0.012054, -0.278076
1930.949999994482, 0.913559, -0.074921, -0.465485
1956.2199999927543, 0.848358, -0.276413, 0.487152
1981.469999998808, 0.689789, -0.255951, 0.271805
2006.7200000048615, 0.974564, -0.250671, 0.435303
2031.9799999997485, 1.130173, -0.420395, 0.508408
2057.22999999125, 0.809296, -0.120499, 0.124023
2082.5000000040745, 0.640884, -0.112701, 0.027679
2107.739999992191, 0.639435, -0.017624, -0.146545
2132.9899999982445, 0.902954, -0.377991, 0.27002
2158.259999996517, 1.141922, -0.306412, -0.585022
2183.499999999185, 1.058182, -0.131393, -0.580139
2208.7699999974575, 0.732483, 0.300858, -0.235855
2233.879999999772, 0.709686, 0.341461, 0.184875
2259.12000000244, 1.254532, 0.212906, -7.48E-4
2284.3900000007125, 1.517502, 0.201996, -0.451431
2309.639999992214, 1.264893, 0.101364, -0.23613
2334.9100000050385, 0.940094, 0.192154, -0.072556
2360.15999999654, 0.585175, 0.27916, -0.208862
2385.3999999992084, 0.609406, 0.139938, -0.125488
2410.6699999974808, 0.366135, 0.137711, 0.007278
2435.9200000035344, 1.190933, -0.184937, -0.194305
2461.1900000018068, 0.727753, -0.079758, -0.110352
2486.430000004475, 1.025787, -0.288757, 0.584244
2511.6799999959767, 1.283569, -0.27005, 0.547623
2536.949999994249, 1.002716, 0.088486, 0.39418
2562.2000000003027, 1.047211, 0.179977, 0.921005
2587.4599999951897, 1.432037, 0.029526, 0.766693
2612.7100000012433, 1.275375, 0.216766, 0.469864
2637.959999992745, 1.217926, 0.20874, 0.396515
2663.220000002184, 1.255417, 0.308334, 0.355804
2688.4699999936856, 1.160248, 0.365723, 0.210327
2713.739999991958, 1.255951, 0.442932, 0.080658
2738.9899999980116, 0.987122, 0.332809, 0.405182
2764.240000004065, 1.206543, -0.014572, 0.373291
2789.5100000023376, 0.56369, 0.586258, 0.225082
