time (ms), x-accel, y-accel, z-accel
0.0, 0.010925, -0.97522, -0.244003
25.24000000266824, 0.008759, -0.961548, -0.244843
50.48000000533648, 0.039658, -0.978683, -0.265884
75.75000000360887, 0.046768, -0.983917, -0.248566
100.99000000627711, 0.044235, -0.990189, -0.232452
126.26000000454951, 0.018143, -0.972687, -0.233353
151.50000000721775, 0.020508, -0.974884, -0.229691
176.74999999871943, 0.033264, -0.972427, -0.231171
202.01000000815839, 0.051559, -0.981628, -0.230362
227.25000001082662, 0.035614, -0.973145, -0.246933
252.51000000571366, 0.046707, -0.973038, -0.235321
277.7500000083819, 0.039322, -0.98172, -0.236893
302.9999999998836, 0.035324, -0.989243, -0.230972
328.26000000932254, 0.032349, -0.986389, -0.236969
353.5000000119908, 0.034668, -0.983154, -0.227951
378.7600000068778, 0.042953, -0.97818, -0.221375
404.00000000954606, 0.030899, -0.977448, -0.233536
429.2400000122143, 0.020447, -0.980911, -0.241837
454.50000000710133, 0.038208, -0.976807, -0.241486
479.7400000097696, 0.019211, -0.982864, -0.227142
505.0000000046566, 0.038849, -0.978607, -0.231125
530.2500000107102, 0.006805, -0.982498, -0.235703
555.4800000099931, 0.027191, -0.972702, -0.230347
580.7500000082655, 0.028091, -0.979996, -0.24028
605.9900000109337, 0.038559, -0.972641, -0.2276
631.2500000058208, 0.048676, -0.981903, -0.233093
656.490000008489, 0.040604, -0.988602, -0.236847
681.7399999999907, 0.050919, -0.976578, -0.236359
707.0000000094296, 0.044846, -0.979996, -0.22438
732.2400000120979, 0.050766, -0.990952, -0.230225
757.5000000069849, 0.052139, -0.997238, -0.240509
782.7400000096532, 0.043732, -1.017624, -0.211914
807.9800000123214, 0.047806, -0.929184, -0.243286
833.2400000072084, 0.045837, -0.990204, -0.213348
858.4800000098767, 0.103622, -0.968796, -0.277786
883.7400000047637, -0.033157, -0.982849, -0.215302
908.8200000114739, 1.98E-4, -0.972687, -0.231094
934.0599999995902, 0.04184, -0.986191, -0.235992
959.3200000090292, 0.016006, -0.977661, -0.233063
984.5600000116974, 0.011322, -0.974655, -0.242996
1009.8200000065845, -0.017441, -0.967331, -0.255417
1035.0600000092527, -0.055374, -0.975403, -0.248642
1060.2900000085356, -0.070938, -0.980011, -0.221359
1085.5500000034226, -0.081314, -0.971115, -0.242691
1110.7900000060908, -0.134216, -0.979111, -0.227951
1136.050000000978, -0.150269, -0.964813, -0.234314
1161.2900000036461, -0.085785, -0.964722, -0.241806
1186.520000002929, -0.116882, -0.982788, -0.212494
1211.7900000012014, -0.15036, -0.969818, -0.198074
1237.0300000038696, -0.130249, -0.976318, -0.206284
1262.2899999987567, -0.083511, -0.983337, -0.173553
1287.530000001425, -0.077637, -1.005112, -0.122986
1312.7700000040932, -0.055405, -0.979889, -0.150513
1338.0299999989802, -0.055099, -1.000595, -0.108292
1363.2700000016484, -0.097824, -0.989944, -0.063324
1388.5300000110874, -0.037689, -1.010529, -0.076263
1413.7699999992037, -0.074432, -1.013916, -0.070511
1439.010000001872, -0.128235, -1.003998, -0.074982
1464.2800000001444, -0.12764, -0.992004, -0.120407
1489.5099999994272, -0.146164, -1.016663, -0.059128
1514.7800000122515, -0.181427, -0.9841, -0.016693
1540.0200000003679, -0.177338, -0.97583, -0.044586
1565.260000003036, -0.159653, -1.004242, -0.068146
1590.5199999979232, -0.093079, -1.018509, -0.099762
1615.7600000005914, -0.078018, -1.028885, -0.084106
1641.0200000100303, -0.060562, -1.022629, -0.104843
1666.2599999981467, -0.219421, -0.984055, -0.08725
1691.500000000815, -0.201813, -0.995178, -0.052872
1716.7600000102539, -0.127563, -1.002808, -0.060349
1741.9999999983702, -0.021652, -1.011093, -0.09697
1767.2700000111945, -0.033646, -1.018112, -0.127945
1792.5099999993108, -0.043304, -1.014816, -0.129456
1817.750000001979, -0.086472, -1.015228, -0.076202
1843.0200000002515, -0.1828, -1.024704, -0.023651
1868.2600000029197, -0.132965, -1.00531, -0.03627
1893.5200000123587, -0.039124, -1.043396, -0.057312
1918.7700000038603, -0.01619, -1.012894, -0.059647
1944.0100000065286, 0.119171, -0.937469, 0.134811
1969.2700000014156, 0.112946, -1.005707, 0.061218
1994.5200000074692, 0.086487, -0.988785, 0.09729
2019.7900000057416, 0.02771, -1.000259, -0.003922
2045.0300000084098, -0.049072, -0.964767, 0.015366
2070.270000011078, -0.09166, -0.896759, 0.008972
2095.530000005965, -0.076889, -0.917633, -0.077042
2120.7800000120187, -0.007019, -0.905777, -0.053543
2146.0400000069058, -0.071671, -0.891983, -0.035019
2171.280000009574, -0.030563, -1.027679, -0.198242
2196.5200000122422, 0.127884, -1.039429, -0.100784
2221.7900000105146, 0.023071, -1.083328, 0.009995
2247.029999998631, -0.040771, -1.07338, 0.060745
2272.3000000114553, -0.091492, -1.057968, 0.128845
2297.5399999995716, -0.063904, -0.998611, 0.096909
2322.78000000224, 0.009003, -1.002151, 0.089737
2348.0500000005122, 0.082062, -1.033585, 0.066498
2373.2900000031805, 0.043869, -1.000519, 0.050705
2398.560000001453, -0.024384, -1.018158, 0.10141
2423.800000004121, 0.101135, -1.009155, 0.121124
2449.0500000101747, 0.147293, -1.03804, 0.139618
2474.3000000016764, 0.034393, -1.000259, 0.141785
2499.55000000773, -0.002762, -0.981476, 0.156967
2524.8200000060024, 0.047638, -0.991409, 0.157349
2550.0600000086706, 0.1073, -0.999039, 0.142212
2575.300000011339, 0.074249, -0.988815, 0.160797
2600.5700000096112, 0.059067, -0.986069, 0.141312
2625.8100000122795, 0.049637, -1.01062, 0.165787
2651.0700000071665, 0.047134, -0.992065, 0.17601
2676.3100000098348, 0.026688, -0.978973, 0.186508
2701.549999997951, -0.013138, -0.978989, 0.195572
2726.8200000107754, 0.020432, -0.960114, 0.194687
2752.0500000100583, -0.004196, -0.969223, 0.217712
2777.3200000083307, -0.048676, -0.992599, 0.188904
2802.560000010999, 0.023087, -1.012695, 0.195465
2827.7999999991152, -0.004883, -0.994049, 0.192108
