times (ms),x-accel,y-accel,z-accel
0.0,-0.369247,-0.261154,-0.86969
25.269999995827675,-0.336807,-0.292252,-0.903244
50.519999980926514,-0.364517,-0.314041,-0.884689
75.76999999582767,-0.387665,-0.314774,-0.857254
101.03999999165535,-0.360291,-0.324005,-0.862534
126.28999999165535,-0.364792,-0.32106,-0.866196
151.55999998748302,-0.380447,-0.314041,-0.859558
176.80999998748302,-0.372513,-0.301071,-0.858368
202.05999998748302,-0.35759,-0.28479,-0.858521
227.3299999833107,-0.353149,-0.2724,-0.862854
252.57999999821186,-0.359329,-0.269958,-0.867371
277.84999999403954,-0.34697,-0.26355,-0.857819
303.0999999791384,-0.345642,-0.277847,-0.863129
328.3399999886751,-0.349609,-0.301086,-0.87178
353.6099999845028,-0.334534,-0.312393,-0.873657
378.8599999845028,-0.317413,-0.315887,-0.871033
404.1299999952316,-0.325714,-0.291016,-0.898666
429.3699999898672,-0.332092,-0.264664,-0.901749
454.6199999898672,-0.322174,-0.253326,-0.883209
479.89000000059605,-0.31424,-0.250824,-0.860641
505.1399999856949,-0.334076,-0.24292,-0.827286
530.3999999761581,-0.372925,-0.23024,-0.791046
555.6499999910593,-0.38855,-0.213409,-0.763855
580.8999999910593,-0.38475,-0.189087,-0.756546
606.169999986887,-0.360001,-0.143433,-0.772476
631.4099999964237,-0.326965,-0.123795,-0.762299
656.6799999922514,-0.367203,-0.091614,-0.800934
681.9299999922514,-0.397903,-0.043564,-0.816666
707.1799999922514,-0.428635,0.004852,-0.820618
732.4499999880791,-0.395462,0.018799,-0.799789
757.7000000029802,-0.423126,0.083923,-0.854294
782.9599999934435,-0.428802,0.12709,-0.870819
808.2099999785423,-0.411499,0.113541,-0.826096
833.4599999934435,-0.415222,0.111298,-0.726944
858.7299999892712,-0.47879,0.18631,-0.708786
883.9799999892712,-0.597977,0.299301,-0.713699
909.2399999946356,-0.572662,0.329559,-0.634995
934.3399999886751,-0.519379,0.357681,-0.508469
959.5899999886751,-0.464661,0.418259,-0.398849
984.8599999845028,-0.527084,0.502747,-0.246399
1010.1099999845028,-0.509491,0.64595,-0.076279
1035.3799999952316,-0.757889,0.735733,-0.047958
1060.6299999803305,-0.907532,0.874146,-0.049896
1085.8799999952316,-0.738434,0.897415,0.044998
1111.1499999910593,-0.635025,1.034073,0.129517
1136.3999999761581,-0.7612,1.065292,0.253708
1161.6700000017881,-0.811813,1.024536,0.256073
1186.919999986887,-0.736359,1.0159,0.184448
1212.169999986887,-0.751495,1.034424,0.286148
1237.449999988079,-0.735489,0.994415,0.357513
1262.6899999827147,-0.659622,1.015259,0.406982
1287.9599999934435,-0.649887,0.987473,0.376694
1313.2099999934435,-0.65921,0.917664,0.363632
1338.4599999934435,-0.628952,0.870636,0.38208
1363.7299999892712,-0.635971,0.861389,0.381073
1388.9799999892712,-0.648605,0.838531,0.375198
1414.25,-0.624084,0.82637,0.382828
1439.4999999850988,-0.599731,0.828125,0.378128
1464.75,-0.574692,0.827301,0.368134
1490.0199999958277,-0.569626,0.813751,0.34462
1515.2699999809265,-0.526443,0.811447,0.328278
1540.5399999916553,-0.502075,0.801422,0.31752
1565.779999986291,-0.497681,0.797592,0.311691
1591.029999986291,-0.50209,0.807373,0.30896
1616.2999999821186,-0.477753,0.817383,0.300934
1641.5499999970198,-0.466827,0.817383,0.294449
1666.8299999982119,-0.461304,0.820541,0.284103
1692.0799999833107,-0.455109,0.846069,0.279709
1717.3299999982119,-0.432404,0.820679,0.288177
1742.5999999940395,-0.377213,0.831482,0.304764
1767.8499999791384,-0.35466,0.860153,0.297455
1793.1199999898672,-0.362518,0.894394,0.30098
1818.3699999898672,-0.384064,0.916885,0.321808
1843.6299999803305,-0.396881,0.933929,0.344574
1868.8999999910593,-0.378662,0.960663,0.34407
1894.1499999910593,-0.381927,1.061096,0.343384
1919.419999986887,-0.39621,1.1371,0.358353
1944.669999986887,-0.389862,1.107437,0.373825
1969.919999986887,-0.296249,0.97438,0.343491
1995.1899999976158,-0.197647,0.938156,0.273026
2020.4399999827147,-0.179977,0.937286,0.237
2045.7099999785423,-0.226654,0.944595,0.220947
2070.9599999934435,-0.25473,0.929337,0.239883
2096.2099999785423,-0.213989,0.912903,0.232498
2121.479999989271,-0.182007,0.897339,0.199051
2146.729999989271,-0.190231,0.885605,0.182693
2171.999999985099,-0.218124,0.860352,0.206863
2197.249999985099,-0.220245,0.843979,0.238312
2222.499999985099,-0.219238,0.797348,0.235458
2247.779999986291,-0.233749,0.778168,0.214691
2273.0099999904633,-0.252121,0.793747,0.216171
2298.279999986291,-0.272003,0.78804,0.235046
2323.529999986291,-0.279129,0.78157,0.237595
2348.780000001192,-0.286621,0.815445,0.231735
2374.0499999970198,-0.303711,0.831009,0.232803
2399.2899999916553,-0.324234,0.838928,0.241913
2424.559999987483,-0.330902,0.859497,0.260803
2449.809999987483,-0.33316,0.886566,0.278763
2475.059999987483,-0.342819,0.92485,0.29985
2500.3299999833107,-0.349213,0.956573,0.320526
2525.579999998212,-0.337006,0.94928,0.334335
2550.8499999940395,-0.316833,0.954453,0.343796
2576.0999999791384,-0.32222,1.081787,0.345245
2601.339999988675,-0.354965,1.222488,0.339966
2626.609999984503,-0.373566,1.218918,0.341827
2651.859999999404,-0.31871,1.049194,0.361389
2677.1299999952316,-0.263687,0.842987,0.370544
2702.3799999803305,-0.144974,0.78006,0.346771
2727.6299999952316,-0.128265,0.852921,0.306366
2752.8999999910593,-0.203949,0.912079,0.293015
2778.1499999910593,-0.252441,0.94664,0.271378
2803.419999986887,-0.220612,0.927109,0.268585
2828.6799999922514,-0.171799,0.864075,0.2957
2853.9299999922514,-0.172607,0.788742,0.291199
2879.199999988079,-0.210281,0.754623,0.259293
2904.4500000029802,-0.227829,0.739838,0.241104
2929.719999998808,-0.258514,0.788483,0.246674
2954.979999989271,-0.280365,0.832169,0.263092
2980.229999989271,-0.319366,0.868561,0.282089
3005.5,-0.33403,0.866806,0.308182
3030.749999985099,-0.344482,0.83197,0.329361
3056.029999986291,-0.36348,0.806564,0.339981
3081.279999986291,-0.362076,0.80867,0.341232
3106.529999986291,-0.390869,0.839096,0.357376
3131.7999999821186,-0.419006,0.880951,0.370636
3157.0499999821186,-0.427856,0.901672,0.37648
3182.3199999928474,-0.429138,0.913788,0.37355
3207.579999998212,-0.409424,0.962631,0.376495
3232.8299999833107,-0.394455,1.060684,0.374481
3258.0999999791384,-0.40831,1.111404,0.396637
3283.3499999940395,-0.405212,1.062881,0.39769
3308.619999989867,-0.357941,1.059341,0.372345
3333.869999989867,-0.324478,1.105087,0.334457
3359.119999989867,-0.304855,1.14621,0.29686
3384.389999985695,-0.269897,1.03656,0.256683
3409.639999985695,-0.207428,0.948013,0.253357
