time (ms), x-accel, y-accel, z-accel
0.0, -0.369247, -0.261154, -0.86969
25.269999998272397, -0.336807, -0.292252, -0.903244
50.51999998977408, -0.364517, -0.314041, -0.884689
75.76999999582767, -0.387665, -0.314774, -0.857254
101.03999999410007, -0.360291, -0.324005, -0.862534
126.29000000015367, -0.364792, -0.32106, -0.866196
151.55999999842606, -0.380447, -0.314041, -0.859558
176.80999998992775, -0.372513, -0.301071, -0.858368
202.05999999598134, -0.35759, -0.28479, -0.858521
227.32999999425374, -0.353149, -0.2724, -0.862854
252.58000000030734, -0.359329, -0.269958, -0.867371
277.84999999857973, -0.34697, -0.26355, -0.857819
303.0999999900814, -0.345642, -0.277847, -0.863129
328.33999999274965, -0.349609, -0.301086, -0.87178
353.60999999102205, -0.334534, -0.312393, -0.873657
378.85999999707565, -0.317413, -0.315887, -0.871033
404.12999999534804, -0.325714, -0.291016, -0.898666
429.3699999980163, -0.332092, -0.264664, -0.901749
454.61999998951796, -0.322174, -0.253326, -0.883209
479.8900000023423, -0.31424, -0.250824, -0.860641
505.13999999384396, -0.334076, -0.24292, -0.827286
530.399999988731, -0.372925, -0.23024, -0.791046
555.6499999947846, -0.38855, -0.213409, -0.763855
580.9000000008382, -0.38475, -0.189087, -0.756546
606.1699999991106, -0.360001, -0.143433, -0.772476
631.4100000017788, -0.326965, -0.123795, -0.762299
656.6800000000512, -0.367203, -0.091614, -0.800934
681.9299999915529, -0.397903, -0.043564, -0.816666
707.1799999976065, -0.428635, 0.004852, -0.820618
732.4499999958789, -0.395462, 0.018799, -0.799789
757.7000000019325, -0.423126, 0.083923, -0.854294
782.9599999968195, -0.428802, 0.12709, -0.870819
808.2099999883212, -0.411499, 0.113541, -0.826096
833.4599999943748, -0.415222, 0.111298, -0.726944
858.7299999926472, -0.47879, 0.18631, -0.708786
883.9799999987008, -0.597977, 0.299301, -0.713699
909.2399999935878, -0.572662, 0.329559, -0.634995
934.3399999925168, -0.519379, 0.357681, -0.508469
959.5899999985704, -0.464661, 0.418259, -0.398849
984.8599999968428, -0.527084, 0.502747, -0.246399
1010.1099999883445, -0.509491, 0.64595, -0.076279
1035.3800000011688, -0.757889, 0.735733, -0.047958
1060.6299999926705, -0.907532, 0.874146, -0.049896
1085.879999998724, -0.738434, 0.897415, 0.044998
1111.1499999969965, -0.635025, 1.034073, 0.129517
1136.3999999884982, -0.7612, 1.065292, 0.253708
1161.6700000013225, -0.811813, 1.024536, 0.256073
1186.9199999928242, -0.736359, 1.0159, 0.184448
1212.1699999988778, -0.751495, 1.034424, 0.286148
1237.4500000005355, -0.735489, 0.994415, 0.357513
1262.6899999886518, -0.659622, 1.015259, 0.406982
1287.9600000014761, -0.649887, 0.987473, 0.376694
1313.2099999929778, -0.65921, 0.917664, 0.363632
1338.4599999990314, -0.628952, 0.870636, 0.38208
1363.7299999973038, -0.635971, 0.861389, 0.381073
1388.9799999888055, -0.648605, 0.838531, 0.375198
1414.2500000016298, -0.624084, 0.82637, 0.382828
1439.4999999931315, -0.599731, 0.828125, 0.378128
1464.749999999185, -0.574692, 0.827301, 0.368134
1490.0199999974575, -0.569626, 0.813751, 0.34462
1515.2699999889592, -0.526443, 0.811447, 0.328278
1540.5400000017835, -0.502075, 0.801422, 0.31752
1565.7799999898998, -0.497681, 0.797592, 0.311691
1591.0299999959534, -0.50209, 0.807373, 0.30896
1616.2999999942258, -0.477753, 0.817383, 0.300934
1641.5500000002794, -0.466827, 0.817383, 0.294449
1666.8300000019372, -0.461304, 0.820541, 0.284103
1692.0799999934388, -0.455109, 0.846069, 0.279709
1717.3299999994924, -0.432404, 0.820679, 0.288177
1742.5999999977648, -0.377213, 0.831482, 0.304764
1767.8499999892665, -0.35466, 0.860153, 0.297455
1793.1200000020908, -0.362518, 0.894394, 0.30098
1818.3699999935925, -0.384064, 0.916885, 0.321808
