times (ms),x-accel,y-accel,z-accel
0.0,0.089584,-0.452866,-0.760818
25.269999995827675,0.197281,-0.435669,-0.743057
50.520000010728836,0.013107,-0.507172,-0.958878
75.77000001072884,0.049362,-0.430206,-0.977951
101.04000000655651,0.057037,-0.414062,-0.870483
126.29000000655651,0.11615,-0.442169,-0.88562
151.5600000023842,0.097046,-0.450211,-0.92952
176.8100000023842,0.054718,-0.429794,-0.91568
202.06000001728535,0.059143,-0.45575,-0.881851
227.34000001847744,0.05278,-0.470474,-0.861206
252.59000000357628,0.060394,-0.473831,-0.879761
277.85999999940395,0.054413,-0.444199,-0.887756
303.1100000143051,0.057556,-0.428482,-0.919937
328.22000001370907,0.091263,-0.439606,-0.919281
353.49000000953674,0.10051,-0.452744,-0.913651
378.7399999946356,0.05896,-0.452469,-0.918884
404.0100000053644,0.058029,-0.3983,-0.894302
429.2600000053644,0.084808,-0.421967,-0.880722
454.5100000053644,0.079483,-0.427887,-0.89447
479.78000001609325,0.086548,-0.43985,-0.92244
505.0300000011921,0.02121,-0.49646,-0.888153
530.2999999970198,0.102509,-0.416077,-0.944733
555.5500000119209,0.107742,-0.44017,-0.931091
580.8000000119209,0.043167,-0.454041,-0.881927
606.0700000077486,-0.047089,-0.450989,-0.863449
631.3200000077486,-0.008667,-0.405869,-0.600327
656.5900000035763,-0.184143,-0.399094,-0.724747
681.8500000089407,-0.204865,-0.381042,-0.75592
707.0999999940395,-0.187729,-0.430176,-0.922607
732.3700000047684,-0.172714,-0.359589,-0.824234
757.6300000101328,-0.097137,-0.366882,-0.905624
782.9100000113249,-0.050201,-0.311798,-0.926483
808.1500000059605,-0.082489,-0.336655,-0.939987
833.4000000059605,-0.096588,-0.315689,-0.980072
858.6700000017881,-0.05368,-0.30899,-0.947998
883.9300000071526,0.012939,-0.280655,-0.899216
909.2000000178814,0.016068,-0.264343,-0.894623
934.4500000029802,-0.058029,-0.270523,-0.858444
959.7000000029802,-0.072601,-0.257721,-0.873932
984.9800000041723,-0.052307,-0.247925,-0.830399
1010.2300000041723,-0.070282,-0.191055,-0.784424
1035.5,6.71E-4,-0.020477,-0.783066
1060.75,0.064499,0.008041,-0.467361
1086.0000000149012,-0.169739,0.004181,-0.073563
1111.2700000107288,-0.268417,0.125595,-0.054123
1136.5199999958277,-0.321945,0.322754,0.033188
1161.7900000065565,-0.400055,0.499847,0.157074
1187.0400000065565,-0.536514,0.707718,0.136185
1212.2900000065565,-0.687241,0.898468,-0.160614
1237.5600000172853,-0.904739,1.138168,-0.508667
1262.8200000077486,-1.219406,1.248978,-0.916473
1288.0900000035763,-1.653503,1.169189,-1.246887
1313.3400000035763,-1.893112,0.954498,-1.100586
1338.5900000035763,-1.75412,0.887131,-0.884964
1363.8700000047684,-1.609024,0.861984,-0.681046
1389.1200000047684,-1.546173,0.784286,-0.608139
1414.390000000596,-1.584244,0.633774,-0.51503
1439.6400000154972,-1.598129,0.568542,-0.483719
1464.9000000059605,-1.402359,0.532944,-0.341782
1490.1700000017881,-1.222916,0.530472,-0.258942
1515.4200000166893,-1.069046,0.571518,-0.29982
1540.690000012517,-1.040497,0.617874,-0.351547
1565.9399999976158,-0.864105,0.658966,-0.246857
1591.190000012517,-0.817764,0.646286,-0.067245
1616.470000013709,-0.90358,0.64151,-0.10498
1641.719999998808,-0.911255,0.645569,-0.109421
1666.9899999946356,-0.759125,0.778214,0.055267
1692.2400000095367,-0.602097,0.840378,-0.082458
1717.4900000095367,-0.669754,0.739746,-0.522766
1742.7700000107288,-0.733276,0.677872,-0.653275
1768.0200000107288,-0.883072,0.542053,-0.812408
1793.2900000065565,-0.872299,0.481232,-0.910767
1818.550000011921,-0.747391,0.463074,-0.874329
1843.8100000023842,-0.559067,0.389053,-0.627991
1869.0799999982119,-0.593292,0.420578,-0.31926
1894.330000013113,-0.731293,0.417984,-0.21051
1919.6100000143051,-0.868439,0.294037,-0.416962
1944.8700000047684,-0.557938,0.248535,-0.396042
1970.1200000047684,-0.340195,0.320908,-0.411163
1995.4000000059605,-0.657501,0.090912,-0.416519
2020.6500000059605,-0.904877,0.021713,-0.02597
2045.9200000017881,-0.843811,-0.05957,-0.003799
2071.1800000071526,-0.747803,-0.007278,-0.016785
2096.4300000071526,-0.808136,0.076935,-0.006165
2121.7100000083447,-0.727386,0.232193,-0.070602
2146.9599999934435,-0.787598,-0.065598,0.126923
2172.2399999946356,-1.023239,0.053284,-0.134186
2197.4900000095367,-1.263931,0.010193,-0.368851
2222.75,-1.308655,0.102097,-0.473312
2248.0199999958277,-1.178436,0.288864,-0.374191
2273.2800000160933,-1.210052,0.492004,-0.255234
2298.550000011921,-1.180481,0.441406,-0.101379
2323.7999999970198,-1.290894,0.119446,-0.145264
2349.060000002384,-1.481277,0.222946,-0.252441
2374.330000013113,-1.091019,0.071075,-0.387283
2399.5900000035763,-0.730011,0.134216,-0.268494
2424.859999999404,-0.679565,0.01384,-0.286011
2450.109999999404,-0.484451,0.020309,-0.109741
2475.360000014305,-0.228577,0.317856,-0.101486
2500.630000010133,-0.392212,0.04216,-0.069809
2525.890000000596,-0.497574,0.143127,-0.088806
2551.160000011325,-0.633316,0.31398,-0.328033
2576.410000011325,-0.852844,0.111145,-0.275757
2601.6599999964237,-0.877518,-0.142853,-0.03569
2626.9300000071526,-1.086258,0.058182,0.289307
2652.190000012517,-2.051804,0.729294,0.0849
2677.4600000083447,-0.895523,0.586716,0.477615
2702.7100000083447,-0.839127,0.687134,0.337967
2727.970000013709,-0.906143,0.716293,0.196686
2753.2400000095367,-0.774994,0.4729,0.258255
2778.4900000095367,-0.849701,0.193649,0.122437
2803.7600000053644,-0.691895,0.260559,0.217834
2829.020000010729,-0.444916,0.264481,0.113403
