time(ms), Accel (x), Accel (y), Accel (z)
0.0, 0.1939966, 10.1189575, -3.1997461
101.0, -0.46702883, 10.248289, -3.3745828
203.0, -0.45026368, 10.013577, -2.8836036
305.0, -0.8430469, 10.164463, -3.410508
407.0, -0.6562354, 10.123748, -3.558999
514.0, 0.1939966, 9.994417, -3.6188745
622.0, -0.3161426, 10.085427, -3.187771
729.0, -0.44547364, 10.075848, -3.3434474
837.0, -0.5029541, 10.121353, -3.3578174
946.0, -0.19878663, 9.975257, -3.530259
1050.0, -0.42870852, 10.068663, -3.396138
1154.0, -0.5029541, 9.992022, -3.439248
1256.0, -0.2562671, 10.097403, -3.5063088
1360.0, -0.32093263, 10.056687, -3.2596216
1465.0, -0.51732427, 10.083033, -3.415298
1567.0, -0.26345217, 10.066268, -3.530259
1671.0, -0.16765137, 10.042317, -3.4464333
1775.0, -0.29698244, 10.059082, -3.4296682
1880.0, -0.27542725, 10.061478, -3.3937428
1983.0, -0.244292, 9.929751, -3.4584084
2087.0, -0.21076173, 10.059082, -3.4296682
2194.0, -0.5029541, 10.023157, -3.5039136
2299.0, -0.23950197, 9.970467, -3.5661843
2403.0, -0.27542725, 9.958491, -3.6955154
2507.0, -0.3879932, 9.939331, -3.8248463
2611.0, -0.33530274, 10.018367, -3.7290456
2713.0, -0.49576905, 10.013577, -3.8152664
2817.0, -0.24908204, 9.936936, -3.5733693
2920.0, -0.31135255, 9.965676, -3.7362306
3035.0, -0.1820215, 9.915381, -3.544629
3140.0, -0.13891114, 9.944121, -3.7218604
3248.0, -0.32572266, 9.999207, -3.7529957
3351.0, 0.06227051, 10.032737, -3.6188745
3457.0, 0.22273682, 10.054293, -3.657195
3559.0, -1.5663428, 10.466236, -4.311035
3662.0, 0.6825806, 9.778865, -3.4823585
3767.0, 1.8681153, 9.83874, -3.288362
3872.0, 3.3745828, 9.630374, -2.6464968
3976.0, 0.84544194, 10.298584, -2.4956105
4079.0, 1.6908839, 9.867481, -1.9399658
4183.0, 0.21315674, 10.459051, -2.1531227
4287.0, -1.2094849, 10.866204, -1.8250049
4392.0, 0.059875492, 10.897339, -2.335144
4499.0, -6.330037, 17.965042, -2.823728
4603.0, 8.202942, 6.8761015, -2.7710378
