time(ms), Accel (x), Accel (y), Accel (z)
0.0, 0.0, 0.0, 0.0
106.0, -0.61073, 10.059082, 3.4440382
211.0, -0.43110353, 9.891431, 3.530259
315.0, -0.38320315, 10.233919, 2.9746144
418.0, -0.60833496, 10.049502, 3.295547
522.0, 0.119750984, 9.992022, 2.694397
628.0, -0.71371585, 10.413546, 2.3830445
735.0, -0.9388477, 9.984837, 2.5339308
843.0, -0.083825685, 10.971585, 2.1746778
952.0, -0.8765772, 10.447076, 2.3926246
1055.0, -0.77359134, 10.418335, 2.6656568
1158.0, -0.84544194, 10.293795, 2.4022048
1262.0, -0.89573735, 10.224339, 2.3255641
1365.0, -1.0609937, 10.267449, 2.4836354
1468.0, -0.49337405, 10.217154, 2.0525317
1572.0, -0.5029541, 10.114168, 2.1818628
1677.0, -0.81191164, 10.36804, 2.672842
1784.0, -0.6945557, 10.209969, 2.6464968
1889.0, -1.0657837, 10.164463, 2.579436
1995.0, -0.9532178, 10.308165, 2.186653
2099.0, -0.96758795, 10.219549, 2.0166066
2204.0, -0.61073, 10.502161, 2.0022364
2308.0, -0.36164796, 10.214759, 1.7675245
2413.0, -1.0274634, 10.499766, 2.1076174
2517.0, -0.613125, 10.617122, 1.705254
2628.0, -0.4526587, 10.578802, 1.590293
2735.0, -0.88376224, 10.346485, 1.9279908
2842.0, -0.66342044, 10.284214, 1.7244141
2947.0, -0.8430469, 10.542876, 1.9687061
3051.0, -0.8334668, 10.277029, 1.9950514
3156.0, -0.73527104, 10.497371, 1.7411792
3259.0, -0.30416748, 10.418335, 1.9088306
3364.0, -0.58677983, 10.281819, 2.059717
3468.0, -0.9364527, 10.365645, 2.2369483
3572.0, -0.6610254, 10.322535, 1.9806812
3677.0, -0.68737066, 10.394385, 1.947151
3780.0, -0.40954837, 10.801538, 2.3471193
3885.0, -0.79754156, 9.5561285, 2.3662794
3990.0, -0.19639161, 10.152488, 3.4919386
4092.0, -0.39278322, 9.065149, 3.4512234
4196.0, 0.19639161, 9.467513, 3.2572267
4299.0, -0.6777906, 10.475816, 3.8607717
